Date,Open,High,Low,Close,Adj Close,Volume
12-08-02,38.72499847,40,38.72499847,39.70000076,29.21413231,212976
13-08-02,39.75,40.38750076,38.875,39.16249847,28.81861115,153576
14-08-02,39.25,39.25,35.72499847,36.46250153,26.8317585,822776
15-08-02,36.46250153,36.46250153,36.46250153,36.46250153,26.8317585,0
16-08-02,36.27500153,38,35.75,36.375,26.76735878,811856
19-08-02,36.67499924,36.67499924,35.13750076,35.47499847,26.10507011,205880
20-08-02,35.72499847,38.72499847,35.48749924,36.46250153,26.8317585,3773624
21-08-02,38.47499847,39.20000076,36.52500153,38.25,28.14711761,3011064
22-08-02,39.51250076,41.57500076,39.3125,39.90000153,29.36130333,6732480
23-08-02,40.25,43.625,39.76250076,42.29999924,31.12739754,4841672
26-08-02,42.97499847,43.25,41.8125,42.15000153,31.01701355,2576912
27-08-02,42.5,44.25,40.75,41.09999847,30.2443428,3694224
28-08-02,40.97499847,41.59999847,40.28749847,41.13750076,30.27194786,1674960
29-08-02,40.88750076,41.875,40.75,41.13750076,30.27194786,1236544
30-08-02,41.26250076,45.125,41.25,44.04999924,32.41518402,3762384
02-09-02,44.75,45.97499847,44.04999924,44.5,32.746315,2389568
03-09-02,44.75,44.9375,42,42.41249847,31.210186,986784
04-09-02,41.875,43.75,41.38750076,43.33750153,31.89087486,1449856
05-09-02,44.66249847,44.86249924,42.5,43.07500076,31.69771194,1061360
06-09-02,43.25,43.25,41.01250076,41.47499847,30.52030182,907472
09-09-02,39.5,42.6875,39.5,40.9375,30.12478065,880848
10-09-02,40.9375,40.9375,40.9375,40.9375,30.12478065,0
11-09-02,41.16249847,42.70000076,41.16249847,41.97499847,30.88824081,635936
12-09-02,42.48749924,43.22499847,41.90000153,42.1875,31.0446167,781968
13-09-02,40.71250153,42.22499847,40.63750076,40.98749924,30.16156769,338264
16-09-02,41.375,41.59999847,39.875,40.1875,29.57287025,288592
17-09-02,40.91249847,41.625,40.77500153,41.36249924,30.43752098,462952
18-09-02,41.125,41.25,39.75,40.08750153,29.4992733,315432
19-09-02,39.75,41.07500076,39.25,39.75,29.25091934,490848
20-09-02,38.32500076,39.67499924,38.16249847,39.09999847,28.77261162,501072
23-09-02,39.375,39.47499847,38.27500153,38.4375,28.28508568,248504
24-09-02,38.29999924,38.29999924,36.72499847,37.13750076,27.32847404,267912
25-09-02,36.27500153,37.75,36,37.42499924,27.54002762,379544
26-09-02,38.20000076,38.61249924,37.75,38.01250076,27.97235489,178136
27-09-02,37.88750076,39,37.88750076,38.47499847,28.31269264,206288
30-09-02,37.88750076,38.47499847,36.27500153,37.07500076,27.28247452,202232
01-10-02,37.25,37.75,36.125,36.76250076,27.05250168,240192
02-10-02,36.76250076,36.76250076,36.76250076,36.76250076,27.05250168,0
03-10-02,37.25,39.75,37.25,37.75,27.77916145,673264
04-10-02,38.25,38.36249924,37.125,37.51250076,27.60441017,258296
07-10-02,37.76250076,38,37.02500153,37.34999847,27.48483849,110976
08-10-02,37.46250153,38.72499847,37.25,38.36249924,28.22989845,227352
09-10-02,38.5,39.11249924,37.0625,37.38750076,27.51242065,277040
10-10-02,38.5,38.5,36.63750076,37.42499924,27.54002762,173224
11-10-02,38.47499847,38.9375,38.11249924,38.21250153,28.11951828,192536
14-10-02,38.92499924,39,37.57500076,37.9375,27.91714478,152744
15-10-02,37.9375,37.9375,37.9375,37.9375,27.91714478,0
16-10-02,42.77500153,42.77500153,37.77500153,38.01250076,27.97235489,247760
17-10-02,38.25,38.25,37.52500153,38.01250076,27.97235489,144512
18-10-02,38.75,39.92499924,38.28749847,38.8125,28.5610466,512312
21-10-02,39.72499847,40.73749924,39.25,39.41249847,29.00256348,646296
22-10-02,39.75,39.75,37.75,37.98749924,27.95394707,229384
23-10-02,38.25,38.70000076,37.52500153,37.8125,27.82516861,153320
24-10-02,38.22499847,38.34999847,36.90000153,37.15000153,27.3376503,168744
25-10-02,36.5,37.08750153,36.27500153,36.38750076,26.77655602,172296
28-10-02,36.125,36.5,35.54999924,35.84999847,26.38102531,134504
29-10-02,35.75,36.45000076,35.54999924,36.16249847,26.61098289,143024
30-10-02,36.5,37.4375,36.25,36.77500153,27.06171417,164320
31-10-02,37,37.5,36.79999924,37.34999847,27.48483849,118928
01-11-02,37.52500153,38.15000153,36.76250076,36.96250153,27.19968796,108792
04-11-02,37.5,37.5,36.95000076,37.23749924,27.40204239,56560
05-11-02,36.88750076,37.32500076,36.59999847,36.83750153,27.10769844,70288
06-11-02,36.83750153,36.83750153,36.83750153,36.83750153,27.10769844,0
07-11-02,37.5,39.5,37.5,37.97499847,27.94475555,204880
08-11-02,37.25,37.73749924,37.02500153,37.3125,27.45724106,77664
11-11-02,37.5,37.5,36.67499924,36.75,27.04330635,66568
12-11-02,36.5,37.5,36.5,36.9375,27.18127632,106864
13-11-02,37.125,37.22499847,36.42499924,36.625,26.95131874,106264
14-11-02,37.20000076,37.90000153,36.63750076,37.125,27.31926346,211856
15-11-02,37.95000076,38.16249847,37.5,37.92499924,27.90795708,154144
18-11-02,38.25,38.73749924,37.83750153,38.3125,28.19311523,217672
19-11-02,38.3125,38.3125,38.3125,38.3125,28.19311523,0
20-11-02,38.25,39.875,38.25,39.57500076,29.12215042,406128
21-11-02,40.3125,44.72499847,40.3125,43,31.64251709,2664024
22-11-02,41.38750076,45.17499924,41.38750076,42.33750153,31.15500259,1184016
25-11-02,42.75,43.20000076,41.75,42.26250076,31.09980011,428920
26-11-02,42.625,43.45000076,41.77500153,42.01250076,30.91583824,367496
27-11-02,42.75,42.75,40.88750076,41.125,30.26275253,301128
28-11-02,41.52500153,43.72499847,41.51250076,42.79999924,31.49532509,447680
29-11-02,42.79999924,42.79999924,42.79999924,42.79999924,31.49532509,0
02-12-02,44.875,49,44.47499847,47.38750076,34.8711586,1388680
03-12-02,48.5,52.42499924,46.77500153,50.09999847,36.86720276,4082608
04-12-02,49.22499847,51.1875,47.76250076,48.42499924,35.63460922,2594928
05-12-02,48.125,51.11249924,48.125,49.65000153,36.53606033,1720264
06-12-02,50.5,51.67499924,49.63750076,50.95000076,37.49269485,1139968
09-12-02,50.75,51.72499847,48.02500153,48.5,35.68979263,975768
10-12-02,47.625,50.5,47.27500153,49.61249924,36.508461,837808
11-12-02,51,53.98749924,50.75,51.95000076,38.22856522,3286400
12-12-02,52,54,52,52.375,38.54131699,2568024
13-12-02,53,53.67499924,52.27500153,52.58750153,38.69768524,1112288
16-12-02,53.25,53.67499924,50.02500153,50.32500076,37.03276825,1231456
17-12-02,51.27500153,51.27500153,48.90000153,49.40000153,36.35209274,855656
18-12-02,49.95000076,50.72499847,48.59999847,48.9375,36.0117569,618096
19-12-02,49.92499924,54.375,49.375,53.07500076,39.05643082,3770256
20-12-02,53.75,54.95000076,52.5,53.51250076,39.37836838,2952072
23-12-02,53.75,53.76250076,51.25,51.61249924,37.98021317,1277744
24-12-02,51.75,54,51.5625,53.73749924,39.54395294,1729840
25-12-02,53.73749924,53.73749924,53.73749924,53.73749924,39.54395294,0
26-12-02,54.15000153,55.95000076,53.25,55.26250076,40.66614914,2894448
27-12-02,55.65000153,55.875,53.78749847,54.01250076,39.74630356,956984
30-12-02,54,57.72499847,52.76250076,57.15000153,42.05510712,4253744
31-12-02,57.52500153,61.08750153,56,60.11249924,44.23513794,9998480
01-01-03,59.98749924,61.97499847,59.98749924,61.08750153,44.95261383,6027072
02-01-03,61.52500153,62.92499924,57.91249847,58.29999924,42.90136337,5325328
03-01-03,60,61.04999924,58.5,59.01250076,43.42564774,4198040
06-01-03,59.92499924,60.1875,56.875,57.26250076,42.13788986,4121520
07-01-03,58,58.5,56.0625,56.59999847,41.65036774,2650800
08-01-03,57.34999847,59.15000153,56.92499924,58.625,43.14052582,2648456
09-01-03,59,60.15000153,58.45000076,59.20000076,43.56364822,2630400
10-01-03,60,60,55.26250076,55.57500076,40.89611435,1702816
13-01-03,56.22499847,56.75,54.25,56.13750076,41.31004333,2421496
14-01-03,56.72499847,58.625,56.5,56.88750076,41.86194229,2239360
15-01-03,57.34999847,58.625,57.02500153,58.02500153,42.69900894,2759760
16-01-03,58.46250153,60.20000076,57.52500153,58.84999847,43.30607986,2842656
17-01-03,58.125,59,57.27500153,57.52500153,42.3310585,1284144
20-01-03,57.25,57.47499847,55.27500153,55.6875,40.97888947,928872
21-01-03,55.76250076,56.5625,54,54.23749924,39.91188049,1147240
22-01-03,54.70000076,55.75,54.07500076,54.47499847,40.08664322,1081352
23-01-03,53.75,54.47499847,51.77500153,52.47499847,38.6149025,1001872
24-01-03,52.625,53.47499847,49.88750076,50.59999847,37.23514175,1436848
27-01-03,48,49.97499847,46.27500153,47.07500076,34.64120102,916832
28-01-03,48.13750076,50.75,46.25,50.36249924,37.06038666,2043224
29-01-03,50.52500153,51.25,48.54999924,48.9375,36.0117569,1370440
30-01-03,48.77500153,51.09999847,48.77500153,49.6875,36.56367111,1203464
31-01-03,48.75,50.11249924,48.17499924,48.48749924,35.6805954,1083040
03-02-03,48.8125,52.47499847,48.625,52.1875,38.40334702,1566808
04-02-03,52.25,53.47499847,50.01250076,50.54999924,37.19834518,1311144
05-02-03,49.75,50.5,48.83750153,49.61249924,36.508461,845080
06-02-03,49.6875,50.90000153,49.125,50.61249924,37.24433517,946624
