2025-12-16 16:44:28,972 | INFO | modules.models.regression.random_forest | Random Forest model saved at models_saved/random_forest.pkl
2025-12-16 16:44:28,972 | INFO | modules.evaluation.regression_metrics | Evaluating regression model performance
2025-12-16 16:44:28,972 | INFO | modules.evaluation.regression_metrics | Regression Metrics: {'MSE': 0.004328277375477829, 'RMSE': np.float64(0.06578964489551398), 'MAE': 0.038479975547406696, 'R2_Score': 0.8022835682238076}
2025-12-16 16:44:28,972 | INFO | __main__ | Final Evaluation Metrics: {'MSE': 0.004328277375477829, 'RMSE': np.float64(0.06578964489551398), 'MAE': 0.038479975547406696, 'R2_Score': 0.8022835682238076}
2025-12-16 16:44:28,972 | INFO | __main__ | Pipeline execution completed successfully
2025-12-16 16:45:53,814 | INFO | __main__ | Starting model training
2025-12-16 16:45:53,845 | INFO | modules.training.trainer | Starting regression model training
2025-12-16 16:45:53,862 | INFO | modules.models.regression.random_forest | Training Random Forest Regressor
2025-12-16 16:45:54,640 | INFO | modules.training.trainer | Regression model training completed
2025-12-16 16:45:54,800 | INFO | modules.models.regression.random_forest | Random Forest model saved at models_saved/random_forest.pkl
2025-12-16 16:45:54,800 | INFO | modules.evaluation.regression_metrics | Evaluating regression model performance
2025-12-16 16:45:54,800 | INFO | modules.evaluation.regression_metrics | Regression Metrics: {'MSE': 128.94528658562697, 'RMSE': np.float64(11.35540781238732), 'MAE': 6.6396379500169, 'R2_Score': 0.8026223912639711}
2025-12-16 16:45:54,800 | INFO | __main__ | Training Metrics: {'MSE': 128.94528658562697, 'RMSE': np.float64(11.35540781238732), 'MAE': 6.6396379500169, 'R2_Score': 0.8026223912639711}
2025-12-16 16:45:54,815 | INFO | __main__ | Model training completed
2025-12-16 16:47:32,483 | INFO | __main__ | Starting real-time prediction engine
2025-12-16 16:47:36,656 | INFO | modules.ingestion.realtime_stream | Real-time price for AAPL: 274.114990234375
2025-12-16 16:47:51,875 | INFO | modules.ingestion.realtime_stream | Real-time price for AAPL: 274.114990234375
2025-12-16 16:48:07,069 | INFO | modules.ingestion.realtime_stream | Real-time price for AAPL: 274.114990234375
2025-12-16 16:48:22,227 | INFO | modules.ingestion.realtime_stream | Real-time price for AAPL: 274.114990234375
2025-12-16 16:48:37,480 | INFO | modules.ingestion.realtime_stream | Real-time price for AAPL: 274.114990234375
2025-12-16 16:48:52,683 | INFO | modules.ingestion.realtime_stream | Real-time price for AAPL: 274.114990234375
2025-12-16 16:49:07,846 | INFO | modules.ingestion.realtime_stream | Real-time price for AAPL: 274.114990234375
2025-12-16 16:49:23,105 | INFO | modules.ingestion.realtime_stream | Real-time price for AAPL: 274.114990234375
2025-12-16 16:49:38,308 | INFO | modules.ingestion.realtime_stream | Real-time price for AAPL: 274.114990234375
2025-12-16 16:49:53,555 | INFO | modules.ingestion.realtime_stream | Real-time price for AAPL: 274.114990234375
2025-12-16 16:50:08,787 | INFO | modules.ingestion.realtime_stream | Real-time price for AAPL: 274.114990234375
2025-12-16 16:50:24,182 | INFO | modules.ingestion.realtime_stream | Real-time price for AAPL: 274.114990234375
2025-12-16 16:50:39,464 | INFO | modules.ingestion.realtime_stream | Real-time price for AAPL: 274.114990234375
2025-12-16 16:50:54,713 | INFO | modules.ingestion.realtime_stream | Real-time price for AAPL: 274.114990234375
2025-12-16 16:51:10,012 | INFO | modules.ingestion.realtime_stream | Real-time price for AAPL: 274.114990234375
2025-12-16 16:51:25,253 | INFO | modules.ingestion.realtime_stream | Real-time price for AAPL: 274.114990234375
2025-12-16 16:51:40,476 | INFO | modules.ingestion.realtime_stream | Real-time price for AAPL: 274.114990234375
2025-12-16 16:51:55,778 | INFO | modules.ingestion.realtime_stream | Real-time price for AAPL: 274.114990234375
2025-12-16 16:52:10,918 | INFO | modules.ingestion.realtime_stream | Real-time price for AAPL: 274.114990234375
2025-12-16 16:52:26,135 | INFO | modules.ingestion.realtime_stream | Real-time price for AAPL: 274.114990234375
2025-12-16 16:52:41,450 | INFO | modules.ingestion.realtime_stream | Real-time price for AAPL: 274.114990234375
2025-12-16 16:52:56,712 | INFO | modules.ingestion.realtime_stream | Real-time price for AAPL: 274.114990234375
2025-12-16 16:53:11,931 | INFO | modules.ingestion.realtime_stream | Real-time price for AAPL: 274.114990234375
