date,open,high,low,close,volume,dividends,stock splits,sma_20,ema_20,rsi,macd,macd_signal,bb_upper,bb_lower,returns,log_returns,trend_direction,volatility,high_low_range,close_lag_1,close_lag_2,close_lag_3,close_lag_4,close_lag_5
2021-01-20 00:00:00-05:00,125.24437293876636,128.97269692470792,125.13729259464834,128.52490234375,104319500,0.0,0.0,127.30711822509765,126.25623781172091,45.40459910404166,0.24347867044622262,0.497892156988769,132.36685119608686,122.24738525410847,0.03285602260680931,0.03232780250172412,1,0.02055128565802305,0.029841721410544107,124.43641662597656,123.76470947265625,125.48772430419922,127.41516876220703,125.38066864013672
2021-01-21 00:00:00-05:00,130.24794357484075,135.96210482573608,130.0435120203248,133.23643493652344,120150900,0.0,0.0,127.7276512145996,126.92101849027353,54.553337523581476,0.776727822002627,0.5536592899915406,133.29195544669165,122.16334698250755,0.03665851914185536,0.03600257814345566,1,0.02185474954539011,0.04442172899801022,128.52490234375,124.43641662597656,123.76470947265625,125.48772430419922,127.41516876220703
2021-01-22 00:00:00-05:00,132.66209590266996,136.1373282057296,131.43555118884584,135.37803649902344,114459400,0.0,0.0,128.07760620117188,127.72644877682113,58.920583530913454,1.3565040303787157,0.7142282380689756,134.61046871256508,121.54474368977867,0.016073693081928297,0.01594587908688419,1,0.02127752338798348,0.034730722489963756,133.23643493652344,128.52490234375,124.43641662597656,123.76470947265625,125.48772430419922
2021-01-25 00:00:00-05:00,139.27182020640586,141.23818305206848,132.91516336360118,139.12579345703125,157611700,0.0,0.0,128.65972938537598,128.81210065112685,68.59342869741478,2.094252281108396,0.9902330466768597,136.8374117098655,120.48204706088646,0.027683640972550494,0.02730737742601094,1,0.021837327133061538,0.05982369970121929,135.37803649902344,133.23643493652344,128.52490234375,124.43641662597656,123.76470947265625
2021-01-26 00:00:00-05:00,139.787742121757,140.46915569228537,137.6169330170498,139.3594207763672,98390600,0.0,0.0,129.20437660217286,129.81660732972117,67.37202324388872,2.6670309841501023,1.3255926341715083,138.6764080776907,119.732345126655,0.0016792523767930057,0.0016778440089700944,1,0.02183381278236962,0.020466665686079338,139.12579345703125,135.37803649902344,133.23643493652344,128.52490234375,124.43641662597656
2021-01-27 00:00:00-05:00,139.6222601892596,140.46917381461645,136.6824448551771,138.28863525390625,140843800,0.0,0.0,129.46574897766112,130.6234671320245,74.41569909279971,2.9999769236685268,1.660469492070912,139.64777141135454,119.28372654396769,-0.007683624949756718,-0.00771329608155901,-1,0.020669042995587434,0.027382792175847975,139.3594207763672,139.12579345703125,135.37803649902344,133.23643493652344,128.52490234375
2021-01-28 00:00:00-05:00,135.81607367562873,138.22050212672593,133.07093096645877,133.45057678222656,142621100,0.0,0.0,129.57380485534668,130.89271567013898,59.548129001208984,2.8407022469330627,1.8965160430433423,139.88240036017243,119.26520935052093,-0.03498522104001334,-0.03561186277598216,-1,0.022043631851287823,0.03858785240524338,138.28863525390625,139.3594207763672,139.12579345703125,135.37803649902344,133.23643493652344
2021-01-29 00:00:00-05:00,132.22404319902353,133.10988846080656,126.7532453845792,128.456787109375,177523800,0.0,0.0,129.48814125061034,130.66072247387575,49.876102771671654,2.2851767314634515,1.9742481807273644,139.8043458303548,119.17193667086588,-0.037420517717212665,-0.038138637234551555,-1,0.023596252418687996,0.04948468056277143,133.45057678222656,138.28863525390625,139.3594207763672,139.12579345703125,135.37803649902344
2021-02-01 00:00:00-05:00,130.19925735971532,131.78598951100426,127.45411448597895,130.5789031982422,106239800,0.0,0.0,129.55871620178223,130.65293016191066,57.28403530181012,1.9931796568432105,1.9780344759505337,139.8849896754626,119.23244272810186,0.016520077581111403,0.016385105569619956,1,0.02382213240543754,0.03317438666526972,128.456787109375,133.45057678222656,138.28863525390625,139.3594207763672,139.12579345703125
2021-02-02 00:00:00-05:00,132.1266407771297,132.6912447408377,131.03637924925178,131.4062957763672,83305400,0.0,0.0,129.83030738830567,130.72467926804939,58.57574177537033,1.8076955486938004,1.9439666904991872,140.04477748524846,119.61583729136288,0.006336341919405353,0.00631635170373487,1,0.023070528419931284,0.012593502326572263,130.5789031982422,128.456787109375,133.45057678222656,138.28863525390625,139.3594207763672
