date,open,high,low,close,volume,dividends,stock splits,returns,log_returns,trend_direction,sma_20,ema_20,rsi,macd,macd_signal,bb_upper,bb_lower,volatility,high_low_range,close_lag_1,close_lag_2,close_lag_3,close_lag_4,close_lag_5
2021-04-08 00:00:00+05:30,14875.650390625,14984.150390625,14821.099609375,14873.7998046875,514800,0.0,0.0,0.0036945688638336804,0.003687760707936765,1,14775.864990234375,14773.496913431625,53.40068205277852,-40.8741085103411,-63.623419121025144,15189.018272688378,14362.711707780372,0.01167854625869198,0.010962281554886487,14819.0498046875,14683.5,14637.7998046875,14867.349609375,14690.7001953125
2021-04-09 00:00:00+05:30,14882.650390625,14918.4501953125,14785.650390625,14834.849609375,504100,0.0,0.0,-0.0026187118170183377,-0.0026221466406612408,-1,14762.687451171874,14779.340027330993,56.54012271952971,-31.246645262201127,-57.148064349260345,15148.428410171457,14376.946492172292,0.011460135589328097,0.008951880752709224,14873.7998046875,14819.0498046875,14683.5,14637.7998046875,14867.349609375
2021-04-12 00:00:00+05:30,14644.650390625,14652.5,14248.7001953125,14310.7998046875,650200,0.0,0.0,-0.03532558930400764,-0.03596463281723922,-1,14719.487451171875,14734.717148983993,41.17932926657098,-65.15221664955789,-58.74889480931986,15104.42010926379,14334.55479307996,0.013707564809934014,0.028216438647631382,14834.849609375,14873.7998046875,14819.0498046875,14683.5,14637.7998046875
2021-04-13 00:00:00+05:30,14364.900390625,14528.900390625,14274.900390625,14504.7998046875,605100,0.0,0.0,0.013556195506029933,0.013465132344700306,1,14693.179931640625,14712.820259050994,45.616940901639495,-75.49815187726381,-62.09874622290865,15059.976161145369,14326.383702135881,0.014082713781859466,0.017511444723140205,14310.7998046875,14834.849609375,14873.7998046875,14819.0498046875,14683.5
2021-04-15 00:00:00+05:30,14522.400390625,14597.5498046875,14353.2001953125,14581.4501953125,568000,0.0,0.0,0.005284484560774683,0.005270570669209097,1,14675.77744140625,14700.308824409232,45.581941549711225,-76.62900271090984,-65.00479752050889,15028.105615980134,14323.449266832366,0.01411200473711534,0.01675756568119343,14504.7998046875,14310.7998046875,14834.849609375,14873.7998046875,14819.0498046875
2021-04-16 00:00:00+05:30,14599.599609375,14697.7001953125,14559.0,14617.849609375,577200,0.0,0.0,0.002496282165007191,0.0024931716281266104,1,14661.147412109374,14692.455565834543,51.419314601372086,-73.73807500338808,-66.75145301708473,14996.32858998079,14325.966234237958,0.014134488879047351,0.009488413071615276,14581.4501953125,14504.7998046875,14310.7998046875,14834.849609375,14873.7998046875
2021-04-19 00:00:00+05:30,14306.599609375,14382.2998046875,14191.400390625,14359.4501953125,512300,0.0,0.0,-0.017676978554819645,-0.01783508230882999,-1,14643.054931640625,14660.740768641968,50.70646858362425,-91.24584188135668,-71.65033078993912,15002.73363264631,14283.37623063494,0.014395283008861028,0.013294340066363907,14617.849609375,14581.4501953125,14504.7998046875,14310.7998046875,14834.849609375
2021-04-20 00:00:00+05:30,14526.7001953125,14526.9501953125,14207.2998046875,14296.400390625,467400,0.0,0.0,-0.004390823034999047,-0.0044004910090830246,-1,14629.982470703126,14626.041685021306,45.46627876756242,-108.95252864821487,-79.11077036159426,15020.392049684378,14239.572891721873,0.014228167733546352,0.02235880234822003,14359.4501953125,14617.849609375,14581.4501953125,14504.7998046875,14310.7998046875
2021-04-22 00:00:00+05:30,14219.150390625,14424.75,14151.400390625,14406.150390625,524600,0.0,0.0,0.007676757575422188,0.007647441212800463,1,14613.089990234375,14605.099656983562,39.53810546151283,-112.82867892255308,-85.85435207378603,15011.874187809404,14214.305792659346,0.014015457557161284,0.018974507551502866,14296.400390625,14359.4501953125,14617.849609375,14581.4501953125,14504.7998046875
2021-04-23 00:00:00+05:30,14326.349609375,14461.150390625,14273.2998046875,14341.349609375,498100,0.0,0.0,-0.004498133053794207,-0.004508280094204329,-1,14593.337451171876,14579.980604830365,41.30210990120339,-119.7490449759789,-92.63329065422461,15005.321379288573,14181.353523055179,0.014035526026930648,0.013098529152005422,14406.150390625,14296.400390625,14359.4501953125,14617.849609375,14581.4501953125
